rank,pls_min_mv,driver,points,back,starts,pole,win,top_5,top_10,winnings,year,race_num
25,-2,Johnny Benson Jr,441,-384,5,0,0,0,1,"$498,337",2002,5
26,+4,Bobby Hamilton,439,-386,5,0,0,0,1,"$399,627",2002,5
27,-3,Robby Gordon,437,-388,5,0,0,0,0,"$471,305",2002,5
28,--,Jeff Green,415,-410,5,0,0,0,0,"$348,114",2002,5
29,+5,Kyle Petty,414,-411,5,0,0,0,0,"$311,847",2002,5
30,+1,Joe Nemechek,413,-412,5,0,0,0,0,"$454,397",2002,5
31,+4,Mike Skinner,392,-433,5,0,0,0,0,"$337,489",2002,5
32,-10,Kenny Wallace,391,-434,4,0,0,0,1,"$454,060",2002,5
33,+3,John Andretti,382,-443,5,0,0,0,0,"$455,305",2002,5
34,-5,Ken Schrader,382,-443,5,0,0,0,0,"$420,412",2002,5
35,-8,Jimmy Spencer,379,-446,4,0,0,0,1,"$268,683",2002,5
36,+1,Buckshot Jones,367,-458,4,0,0,0,0,"$232,928",2002,5
37,-4,Brett Bodine,344,-481,5,0,0,0,0,"$341,466",2002,5
38,--,Stacy Compton,314,-511,5,0,0,0,0,"$345,768",2002,5
39,+2,Casey Atwood,296,-529,5,0,0,0,0,"$333,674",2002,5
40,--,Hut Stricklin,279,-546,4,0,0,0,0,"$217,302",2002,5
41,+2,Rick Mast,259,-566,4,0,0,0,0,"$189,992",2002,5
42,--,Shawna Robinson,226,-599,4,0,0,0,0,"$270,354",2002,5
43,-4,Todd Bodine,218,-607,3,1,0,0,0,"$273,965",2002,5
44,--,Geoffrey Bodine,165,-660,1,0,0,1,1,"$688,641",2002,5
45,--,Mike Wallace,149,-676,2,0,0,0,0,"$225,847",2002,5
46,--,Robert Pressley,97,-728,1,0,0,0,0,"$150,859",2002,5
47,--,Steve Park,51,-774,1,0,0,0,0,"$65,390",2002,5
48,-1,Dave Marcis,37,-788,1,0,0,0,0,"$137,110",2002,5
49,-1,Dick Trickle,37,-788,1,0,0,0,0,"$39,305",2002,5
50,--,Andy Hillenburg,34,-791,1,0,0,0,0,"$34,598",2002,5
1,--,Sterling Marlin,931,0,6,0,2,3,5,"$1,210,020",2002,6
2,+1,Matt Kenseth,832,-99,6,1,1,2,4,"$630,672",2002,6
3,+1,Rusty Wallace,815,-116,6,1,0,0,4,"$708,960",2002,6
4,+1,Jimmie Johnson,813,-118,6,4,0,1,4,"$466,317",2002,6
5,+6,Kurt Busch,794,-137,6,1,1,2,2,"$911,046",2002,6
6,+4,Dale Earnhardt Jr,791,-140,6,2,0,3,3,"$730,346",2002,6
7,-5,Ryan Newman,778,-153,6,6,0,2,4,"$729,611",2002,6
8,+1,Mark Martin,768,-163,6,0,0,1,3,"$872,260",2002,6
9,-2,Jeff Burton,740,-191,6,0,0,0,2,"$685,226",2002,6
10,-4,Jeff Gordon,739,-192,6,3,0,0,3,"$866,468",2002,6
11,-3,Ward Burton,728,-203,6,1,1,1,2,"$1,856,930",2002,6
12,--,Tony Stewart,727,-204,6,2,1,3,3,"$1,025,490",2002,6
13,+1,Bill Elliott,694,-237,6,4,0,0,2,"$635,647",2002,6
14,+2,Ricky Rudd,682,-249,6,1,0,1,1,"$709,438",2002,6
15,--,Ricky Craven,666,-265,6,2,0,2,2,"$504,431",2002,6
16,+1,Bobby Labonte,665,-266,6,0,0,2,2,"$738,728",2002,6
17,-4,Elliott Sadler,640,-291,6,0,0,2,2,"$1,313,410",2002,6
18,--,Jeremy Mayfield,627,-304,6,0,0,1,1,"$588,767",2002,6
19,+3,Jerry Nadeau,614,-317,6,0,0,0,1,"$466,670",2002,6
20,+3,Kevin Harvick,599,-332,6,1,0,1,2,"$679,783",2002,6
21,-1,Terry Labonte,597,-334,6,0,0,0,0,"$612,715",2002,6
22,-3,Dave Blaney,596,-335,6,0,0,0,0,"$499,219",2002,6
23,+12,Jimmy Spencer,554,-377,5,0,0,1,2,"$379,348",2002,6
24,-3,Dale Jarrett,552,-379,6,1,0,0,1,"$663,433",2002,6
25,+4,Kyle Petty,541,-390,6,0,0,0,0,"$366,462",2002,6
26,+1,Robby Gordon,540,-391,6,0,0,0,0,"$556,636",2002,6
27,-3,Michael Waltrip,534,-397,6,0,0,1,1,"$698,145",2002,6
28,-2,Bobby Hamilton,518,-413,6,0,0,0,1,"$461,527",2002,6
29,-1,Jeff Green,497,-434,6,0,0,0,0,"$398,969",2002,6
30,-5,Johnny Benson Jr,487,-444,6,0,0,0,1,"$574,167",2002,6
31,--,Mike Skinner,486,-445,6,0,0,0,0,"$400,723",2002,6
32,+2,Ken Schrader,479,-452,6,0,0,0,0,"$494,027",2002,6
33,-3,Joe Nemechek,447,-484,6,0,0,0,0,"$527,800",2002,6
34,-1,John Andretti,443,-488,6,0,0,0,0,"$534,673",2002,6
35,+1,Buckshot Jones,410,-521,5,0,0,0,0,"$281,943",2002,6
36,+3,Casey Atwood,405,-526,6,0,0,0,0,"$402,714",2002,6
37,--,Brett Bodine,399,-532,6,0,0,0,0,"$390,661",2002,6
38,-6,Kenny Wallace,386,-545,4,0,0,0,1,"$454,060",2002,6
39,-1,Stacy Compton,363,-568,6,0,0,0,0,"$394,883",2002,6
40,--,Hut Stricklin,337,-594,5,0,0,0,0,"$269,042",2002,6
41,--,Rick Mast,323,-608,5,0,0,0,0,"$242,342",2002,6
42,--,Shawna Robinson,226,-705,4,0,0,0,0,"$270,354",2002,6
43,--,Todd Bodine,218,-713,3,1,0,0,0,"$273,965",2002,6
44,--,Geoffrey Bodine,165,-766,1,0,0,1,1,"$688,641",2002,6
45,--,Mike Wallace,149,-782,2,0,0,0,0,"$225,847",2002,6
46,+1,Steve Park,142,-789,2,0,0,0,0,"$149,830",2002,6
47,-1,Robert Pressley,97,-834,1,0,0,0,0,"$150,859",2002,6
48,+1,Dick Trickle,74,-857,2,0,0,0,0,"$88,215",2002,6
49,--,Hermie Sadler,67,-864,1,0,0,0,0,"$70,554",2002,6
